,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
1929,https://www.booli.se/annons/2238474,2670000,68462,1,39,2018-08-22,2147,146,4,1971,Solna
1930,https://www.booli.se/annons/3174530,4000000,53691,3,75,2018-08-22,2701,500,8,1965,Solna
1931,https://www.booli.se/annons/3201945,3900000,50000,3,78,2018-08-21,3274,350,5,1969,Solna
1932,https://www.booli.se/annons/3198517,2550000,57955,1.5,44,2018-08-21,1408,400,3,1960,Solna
1933,https://www.booli.se/annons/2371093,3805000,47563,3,80,2018-08-20,3723,583,5,1969,Solna
1934,https://www.booli.se/annons/3188848,2890000,55048,2,53,2018-08-19,2973,1488,0,2016,Solna
1935,https://www.booli.se/annons/3116775,2600000,45694,2,57,2018-08-19,2359,450,12,1971,Solna
1936,https://www.booli.se/annons/3087219,2810000,51091,2,55,2018-02-20,2762,458,0,1953,Solna
1937,https://www.booli.se/annons/3209359,3400000,31193,4,109,2018-08-17,5769,370,2,1960,Solna
1938,https://www.booli.se/annons/3196711,2160000,46957,1.5,46,2018-08-17,2405,471,6,1965,Solna
1939,https://www.booli.se/annons/3204043,2640000,73333,1,36,2018-08-16,1992,235,1,1916,Solna
1940,https://www.booli.se/annons/3208933,4735000,50914,4,93,2018-08-15,4909,963,2,1998,Solna
1941,https://www.booli.se/bostad/437090,4950000,39286,5,126,2018-08-24,7015,507,0,2008,Solna
1942,https://www.booli.se/annons/3208933,4735000,50914,4,93,2018-08-15,4909,963,2,1998,Solna
1943,https://www.booli.se/annons/3208168,4500000,69231,3,65,2018-08-10,3738,667,4,2018,Solna
1944,https://www.booli.se/annons/3052723,2795000,73553,1,38,2018-08-14,2122,450,4,2016,Solna
1945,https://www.booli.se/annons/2266245,2720000,50841,2,54,2018-08-13,3018,667,3,2016,Solna
1946,https://www.booli.se/annons/3211230,4000000,61538,2,65,2018-08-10,4329,651,3,1909,Solna
1947,https://www.booli.se/annons/3204856,3310000,50152,2,66,2018-08-09,1810,400,3,1955,Solna
1948,https://www.booli.se/annons/3111883,3100000,70455,2,44,2018-08-06,2787,253,10,2018,Solna
1949,https://www.booli.se/annons/3172145,4495000,69154,3,65,2018-08-04,3738,667,4,2018,Solna
1950,https://www.booli.se/annons/3146108,5200000,36262,6,143,2018-08-03,6946,560,3,1966,Solna
